option,1A,1B,1D,1E,1G,1I,1K,1L,third_groups_key
100,3E,3G,3B,3C,3J,3F,3L,3K,BCEFGJKL
101,3E,3G,3B,3C,3I,3F,3L,3K,BCEFGIKL
102,3E,3G,3B,3C,3J,3F,3L,3I,BCEFGIJL
103,3E,3G,3B,3C,3J,3F,3I,3K,BCEFGIJK
104,3E,3G,3B,3C,3H,3F,3L,3K,BCEFGHKL
105,3H,3G,3B,3C,3J,3F,3L,3E,BCEFGHJL
106,3H,3G,3B,3C,3J,3F,3E,3K,BCEFGHJK
107,3E,3G,3B,3C,3H,3F,3L,3I,BCEFGHIL
108,3E,3G,3B,3C,3H,3F,3I,3K,BCEFGHIK
109,3H,3G,3B,3C,3J,3F,3E,3I,BCEFGHIJ
110,3H,3J,3B,3C,3I,3D,3L,3K,BCDHIJKL
111,3I,3G,3B,3C,3J,3D,3L,3K,BCDGIJKL
112,3H,3G,3B,3C,3J,3D,3L,3K,BCDGHJKL
113,3H,3G,3B,3C,3I,3D,3L,3K,BCDGHIKL
114,3H,3G,3B,3C,3J,3D,3L,3I,BCDGHIJL
115,3H,3G,3B,3C,3J,3D,3I,3K,BCDGHIJK
116,3C,3J,3B,3D,3I,3F,3L,3K,BCDFIJKL
117,3C,3J,3B,3D,3H,3F,3L,3K,BCDFHJKL
118,3C,3I,3B,3D,3H,3F,3L,3K,BCDFHIKL
119,3C,3J,3B,3D,3H,3F,3L,3I,BCDFHIJL
120,3C,3J,3B,3D,3H,3F,3I,3K,BCDFHIJK
121,3C,3G,3B,3D,3J,3F,3L,3K,BCDFGJKL
122,3C,3G,3B,3D,3I,3F,3L,3K,BCDFGIKL
123,3C,3G,3B,3D,3J,3F,3L,3I,BCDFGIJL
124,3C,3G,3B,3D,3J,3F,3I,3K,BCDFGIJK
125,3C,3G,3B,3D,3H,3F,3L,3K,BCDFGHKL
126,3C,3G,3B,3D,3H,3F,3L,3J,BCDFGHJL
127,3H,3G,3B,3C,3J,3F,3D,3K,BCDFGHJK
128,3C,3G,3B,3D,3H,3F,3L,3I,BCDFGHIL
129,3C,3G,3B,3D,3H,3F,3I,3K,BCDFGHIK
130,3H,3G,3B,3C,3J,3F,3D,3I,BCDFGHIJ
131,3E,3J,3B,3C,3I,3D,3L,3K,BCDEIJKL
132,3E,3J,3B,3C,3H,3D,3L,3K,BCDEHJKL
133,3E,3I,3B,3C,3H,3D,3L,3K,BCDEHIKL
134,3E,3J,3B,3C,3H,3D,3L,3I,BCDEHIJL
135,3E,3J,3B,3C,3H,3D,3I,3K,BCDEHIJK
136,3E,3G,3B,3C,3J,3D,3L,3K,BCDEGJKL
137,3E,3G,3B,3C,3I,3D,3L,3K,BCDEGIKL
138,3E,3G,3B,3C,3J,3D,3L,3I,BCDEGIJL
139,3E,3G,3B,3C,3J,3D,3I,3K,BCDEGIJK
140,3E,3G,3B,3C,3H,3D,3L,3K,BCDEGHKL
141,3H,3G,3B,3C,3J,3D,3L,3E,BCDEGHJL
142,3H,3G,3B,3C,3J,3D,3E,3K,BCDEGHJK
143,3E,3G,3B,3C,3H,3D,3L,3I,BCDEGHIL
144,3E,3G,3B,3C,3H,3D,3I,3K,BCDEGHIK
145,3H,3G,3B,3C,3J,3D,3E,3I,BCDEGHIJ
146,3C,3J,3B,3D,3E,3F,3L,3K,BCDEFJKL
147,3C,3E,3B,3D,3I,3F,3L,3K,BCDEFIKL
148,3C,3J,3B,3D,3E,3F,3L,3I,BCDEFIJL
149,3C,3J,3B,3D,3E,3F,3I,3K,BCDEFIJK
150,3C,3E,3B,3D,3H,3F,3L,3K,BCDEFHKL
151,3C,3J,3B,3D,3H,3F,3L,3E,BCDEFHJL
152,3C,3J,3B,3D,3H,3F,3E,3K,BCDEFHJK
153,3C,3E,3B,3D,3H,3F,3L,3I,BCDEFHIL
154,3C,3E,3B,3D,3H,3F,3I,3K,BCDEFHIK
155,3C,3J,3B,3D,3H,3F,3E,3I,BCDEFHIJ
156,3C,3G,3B,3D,3E,3F,3L,3K,BCDEFGKL
157,3C,3G,3B,3D,3J,3F,3L,3E,BCDEFGJL
158,3C,3G,3B,3D,3J,3F,3E,3K,BCDEFGJK
159,3C,3G,3B,3D,3E,3F,3L,3I,BCDEFGIL
160,3C,3G,3B,3D,3E,3F,3I,3K,BCDEFGIK
161,3C,3G,3B,3D,3J,3F,3E,3I,BCDEFGIJ
162,3C,3G,3B,3D,3H,3F,3L,3E,BCDEFGHL
163,3C,3G,3B,3D,3H,3F,3E,3K,BCDEFGHK
164,3H,3G,3B,3C,3J,3F,3D,3E,BCDEFGHJ
165,3C,3G,3B,3D,3H,3F,3E,3I,BCDEFGHI
166,3H,3J,3I,3F,3A,3G,3L,3K,AFGHIJKL
167,3E,3J,3I,3A,3H,3G,3L,3K,AEGHIJKL
168,3E,3J,3I,3F,3A,3H,3L,3K,AEFHIJKL
169,3E,3J,3I,3F,3A,3G,3L,3K,AEFGIJKL
170,3E,3G,3J,3F,3A,3H,3L,3K,AEFGHJKL
171,3E,3G,3I,3F,3A,3H,3L,3K,AEFGHIKL
172,3E,3G,3J,3F,3A,3H,3L,3I,AEFGHIJL
173,3E,3G,3J,3F,3A,3H,3I,3K,AEFGHIJK
174,3H,3J,3I,3D,3A,3G,3L,3K,ADGHIJKL
175,3H,3J,3I,3D,3A,3F,3L,3K,ADFHIJKL
176,3I,3G,3J,3D,3A,3F,3L,3K,ADFGIJKL
177,3H,3G,3J,3D,3A,3F,3L,3K,ADFGHJKL
178,3H,3G,3I,3D,3A,3F,3L,3K,ADFGHIKL
179,3H,3G,3J,3D,3A,3F,3L,3I,ADFGHIJL
180,3H,3G,3J,3D,3A,3F,3I,3K,ADFGHIJK
181,3E,3J,3I,3D,3A,3H,3L,3K,ADEHIJKL
182,3E,3J,3I,3D,3A,3G,3L,3K,ADEGIJKL
183,3E,3G,3J,3D,3A,3H,3L,3K,ADEGHJKL
184,3E,3G,3I,3D,3A,3H,3L,3K,ADEGHIKL
185,3E,3G,3J,3D,3A,3H,3L,3I,ADEGHIJL
186,3E,3G,3J,3D,3A,3H,3I,3K,ADEGHIJK
187,3E,3J,3I,3D,3A,3F,3L,3K,ADEFIJKL
188,3H,3J,3E,3D,3A,3F,3L,3K,ADEFHJKL
189,3H,3E,3I,3D,3A,3F,3L,3K,ADEFHIKL
190,3H,3J,3E,3D,3A,3F,3L,3I,ADEFHIJL
191,3H,3J,3E,3D,3A,3F,3I,3K,ADEFHIJK
192,3E,3G,3J,3D,3A,3F,3L,3K,ADEFGJKL
193,3E,3G,3I,3D,3A,3F,3L,3K,ADEFGIKL
194,3E,3G,3J,3D,3A,3F,3L,3I,ADEFGIJL
195,3E,3G,3J,3D,3A,3F,3I,3K,ADEFGIJK
196,3H,3G,3E,3D,3A,3F,3L,3K,ADEFGHKL
197,3H,3G,3J,3D,3A,3F,3L,3E,ADEFGHJL
198,3H,3G,3J,3D,3A,3F,3E,3K,ADEFGHJK
199,3H,3G,3E,3D,3A,3F,3L,3I,ADEFGHIL
200,3H,3G,3E,3D,3A,3F,3I,3K,ADEFGHIK
201,3H,3G,3J,3D,3A,3F,3E,3I,ADEFGHIJ
202,3H,3J,3I,3C,3A,3G,3L,3K,ACGHIJKL
203,3H,3J,3I,3C,3A,3F,3L,3K,ACFHIJKL
204,3I,3G,3J,3C,3A,3F,3L,3K,ACFGIJKL
205,3H,3G,3J,3C,3A,3F,3L,3K,ACFGHJKL
206,3H,3G,3I,3C,3A,3F,3L,3K,ACFGHIKL
207,3H,3G,3J,3C,3A,3F,3L,3I,ACFGHIJL
208,3H,3G,3J,3C,3A,3F,3I,3K,ACFGHIJK
209,3E,3J,3I,3C,3A,3H,3L,3K,ACEHIJKL
210,3E,3J,3I,3C,3A,3G,3L,3K,ACEGIJKL
211,3E,3G,3J,3C,3A,3H,3L,3K,ACEGHJKL
212,3E,3G,3I,3C,3A,3H,3L,3K,ACEGHIKL
213,3E,3G,3J,3C,3A,3H,3L,3I,ACEGHIJL
214,3E,3G,3J,3C,3A,3H,3I,3K,ACEGHIJK
215,3E,3J,3I,3C,3A,3F,3L,3K,ACEFIJKL
216,3H,3J,3E,3C,3A,3F,3L,3K,ACEFHJKL
217,3H,3E,3I,3C,3A,3F,3L,3K,ACEFHIKL
218,3H,3J,3E,3C,3A,3F,3L,3I,ACEFHIJL
219,3H,3J,3E,3C,3A,3F,3I,3K,ACEFHIJK
220,3E,3G,3J,3C,3A,3F,3L,3K,ACEFGJKL
221,3E,3G,3I,3C,3A,3F,3L,3K,ACEFGIKL
222,3E,3G,3J,3C,3A,3F,3L,3I,ACEFGIJL
223,3E,3G,3J,3C,3A,3F,3I,3K,ACEFGIJK
224,3H,3G,3E,3C,3A,3F,3L,3K,ACEFGHKL
225,3H,3G,3J,3C,3A,3F,3L,3E,ACEFGHJL
226,3H,3G,3J,3C,3A,3F,3E,3K,ACEFGHJK
227,3H,3G,3E,3C,3A,3F,3L,3I,ACEFGHIL
228,3H,3G,3E,3C,3A,3F,3I,3K,ACEFGHIK
229,3H,3G,3J,3C,3A,3F,3E,3I,ACEFGHIJ
230,3H,3J,3I,3C,3A,3D,3L,3K,ACDHIJKL
231,3I,3G,3J,3C,3A,3D,3L,3K,ACDGIJKL
232,3H,3G,3J,3C,3A,3D,3L,3K,ACDGHJKL
233,3H,3G,3I,3C,3A,3D,3L,3K,ACDGHIKL
234,3H,3G,3J,3C,3A,3D,3L,3I,ACDGHIJL
235,3H,3G,3J,3C,3A,3D,3I,3K,ACDGHIJK
236,3C,3J,3I,3D,3A,3F,3L,3K,ACDFIJKL
237,3H,3J,3F,3C,3A,3D,3L,3K,ACDFHJKL
238,3H,3F,3I,3C,3A,3D,3L,3K,ACDFHIKL
239,3H,3J,3F,3C,3A,3D,3L,3I,ACDFHIJL
240,3H,3J,3F,3C,3A,3D,3I,3K,ACDFHIJK
241,3C,3G,3J,3D,3A,3F,3L,3K,ACDFGJKL
242,3C,3G,3I,3D,3A,3F,3L,3K,ACDFGIKL
243,3C,3G,3J,3D,3A,3F,3L,3I,ACDFGIJL
244,3C,3G,3J,3D,3A,3F,3I,3K,ACDFGIJK
245,3H,3G,3F,3C,3A,3D,3L,3K,ACDFGHKL
246,3C,3G,3J,3D,3A,3F,3L,3H,ACDFGHJL
247,3H,3G,3J,3C,3A,3F,3D,3K,ACDFGHJK
248,3H,3G,3F,3C,3A,3D,3L,3I,ACDFGHIL
249,3H,3G,3F,3C,3A,3D,3I,3K,ACDFGHIK
250,3H,3G,3J,3C,3A,3F,3D,3I,ACDFGHIJ
251,3E,3J,3I,3C,3A,3D,3L,3K,ACDEIJKL
252,3H,3J,3E,3C,3A,3D,3L,3K,ACDEHJKL
253,3H,3E,3I,3C,3A,3D,3L,3K,ACDEHIKL
254,3H,3J,3E,3C,3A,3D,3L,3I,ACDEHIJL
255,3H,3J,3E,3C,3A,3D,3I,3K,ACDEHIJK
256,3E,3G,3J,3C,3A,3D,3L,3K,ACDEGJKL
257,3E,3G,3I,3C,3A,3D,3L,3K,ACDEGIKL
258,3E,3G,3J,3C,3A,3D,3L,3I,ACDEGIJL
259,3E,3G,3J,3C,3A,3D,3I,3K,ACDEGIJK
260,3H,3G,3E,3C,3A,3D,3L,3K,ACDEGHKL
261,3H,3G,3J,3C,3A,3D,3L,3E,ACDEGHJL
262,3H,3G,3J,3C,3A,3D,3E,3K,ACDEGHJK
263,3H,3G,3E,3C,3A,3D,3L,3I,ACDEGHIL
264,3H,3G,3E,3C,3A,3D,3I,3K,ACDEGHIK
265,3H,3G,3J,3C,3A,3D,3E,3I,ACDEGHIJ
266,3C,3J,3E,3D,3A,3F,3L,3K,ACDEFJKL
267,3C,3E,3I,3D,3A,3F,3L,3K,ACDEFIKL
268,3C,3J,3E,3D,3A,3F,3L,3I,ACDEFIJL
269,3C,3J,3E,3D,3A,3F,3I,3K,ACDEFIJK
270,3H,3E,3F,3C,3A,3D,3L,3K,ACDEFHKL
271,3H,3J,3F,3C,3A,3D,3L,3E,ACDEFHJL
272,3H,3J,3E,3C,3A,3F,3D,3K,ACDEFHJK
273,3H,3E,3F,3C,3A,3D,3L,3I,ACDEFHIL
274,3H,3E,3F,3C,3A,3D,3I,3K,ACDEFHIK
275,3H,3J,3E,3C,3A,3F,3D,3I,ACDEFHIJ
276,3C,3G,3E,3D,3A,3F,3L,3K,ACDEFGKL
277,3C,3G,3J,3D,3A,3F,3L,3E,ACDEFGJL
278,3C,3G,3J,3D,3A,3F,3E,3K,ACDEFGJK
279,3C,3G,3E,3D,3A,3F,3L,3I,ACDEFGIL
280,3C,3G,3E,3D,3A,3F,3I,3K,ACDEFGIK
281,3C,3G,3J,3D,3A,3F,3E,3I,ACDEFGIJ
282,3H,3G,3F,3C,3A,3D,3L,3E,ACDEFGHL
283,3H,3G,3E,3C,3A,3F,3D,3K,ACDEFGHK
284,3H,3G,3J,3C,3A,3F,3D,3E,ACDEFGHJ
285,3H,3G,3E,3C,3A,3F,3D,3I,ACDEFGHI
286,3H,3J,3B,3A,3I,3G,3L,3K,ABGHIJKL
287,3H,3J,3B,3A,3I,3F,3L,3K,ABFHIJKL
288,3I,3J,3B,3F,3A,3G,3L,3K,ABFGIJKL
289,3H,3J,3B,3F,3A,3G,3L,3K,ABFGHJKL
290,3H,3G,3B,3A,3I,3F,3L,3K,ABFGHIKL
291,3H,3J,3B,3F,3A,3G,3L,3I,ABFGHIJL
292,3H,3J,3B,3F,3A,3G,3I,3K,ABFGHIJK
293,3E,3J,3B,3A,3I,3H,3L,3K,ABEHIJKL
294,3E,3J,3B,3A,3I,3G,3L,3K,ABEGIJKL
295,3E,3J,3B,3A,3H,3G,3L,3K,ABEGHJKL
296,3E,3G,3B,3A,3I,3H,3L,3K,ABEGHIKL
297,3E,3J,3B,3A,3H,3G,3L,3I,ABEGHIJL
298,3E,3J,3B,3A,3H,3G,3I,3K,ABEGHIJK
299,3E,3J,3B,3A,3I,3F,3L,3K,ABEFIJKL
300,3E,3J,3B,3F,3A,3H,3L,3K,ABEFHJKL
301,3E,3I,3B,3F,3A,3H,3L,3K,ABEFHIKL
302,3E,3J,3B,3F,3A,3H,3L,3I,ABEFHIJL
303,3E,3J,3B,3F,3A,3H,3I,3K,ABEFHIJK
304,3E,3J,3B,3F,3A,3G,3L,3K,ABEFGJKL
305,3E,3G,3B,3A,3I,3F,3L,3K,ABEFGIKL
306,3E,3J,3B,3F,3A,3G,3L,3I,ABEFGIJL
307,3E,3J,3B,3F,3A,3G,3I,3K,ABEFGIJK
308,3E,3G,3B,3F,3A,3H,3L,3K,ABEFGHKL
309,3H,3J,3B,3F,3A,3G,3L,3E,ABEFGHJL
310,3H,3J,3B,3F,3A,3G,3E,3K,ABEFGHJK
311,3E,3G,3B,3F,3A,3H,3L,3I,ABEFGHIL
312,3E,3G,3B,3F,3A,3H,3I,3K,ABEFGHIK
313,3H,3J,3B,3F,3A,3G,3E,3I,ABEFGHIJ
314,3I,3J,3B,3D,3A,3H,3L,3K,ABDHIJKL
315,3I,3J,3B,3D,3A,3G,3L,3K,ABDGIJKL
316,3H,3J,3B,3D,3A,3G,3L,3K,ABDGHJKL
317,3I,3G,3B,3D,3A,3H,3L,3K,ABDGHIKL
318,3H,3J,3B,3D,3A,3G,3L,3I,ABDGHIJL
319,3H,3J,3B,3D,3A,3G,3I,3K,ABDGHIJK
320,3I,3J,3B,3D,3A,3F,3L,3K,ABDFIJKL
321,3H,3J,3B,3D,3A,3F,3L,3K,ABDFHJKL
322,3H,3I,3B,3D,3A,3F,3L,3K,ABDFHIKL
323,3H,3J,3B,3D,3A,3F,3L,3I,ABDFHIJL
324,3H,3J,3B,3D,3A,3F,3I,3K,ABDFHIJK
325,3F,3J,3B,3D,3A,3G,3L,3K,ABDFGJKL
326,3I,3G,3B,3D,3A,3F,3L,3K,ABDFGIKL
327,3F,3J,3B,3D,3A,3G,3L,3I,ABDFGIJL
328,3F,3J,3B,3D,3A,3G,3I,3K,ABDFGIJK
329,3H,3G,3B,3D,3A,3F,3L,3K,ABDFGHKL
330,3H,3G,3B,3D,3A,3F,3L,3J,ABDFGHJL
331,3H,3G,3B,3D,3A,3F,3J,3K,ABDFGHJK
332,3H,3G,3B,3D,3A,3F,3L,3I,ABDFGHIL
333,3H,3G,3B,3D,3A,3F,3I,3K,ABDFGHIK
334,3H,3G,3B,3D,3A,3F,3I,3J,ABDFGHIJ
335,3E,3J,3B,3A,3I,3D,3L,3K,ABDEIJKL
336,3E,3J,3B,3D,3A,3H,3L,3K,ABDEHJKL
337,3E,3I,3B,3D,3A,3H,3L,3K,ABDEHIKL
338,3E,3J,3B,3D,3A,3H,3L,3I,ABDEHIJL
339,3E,3J,3B,3D,3A,3H,3I,3K,ABDEHIJK
340,3E,3J,3B,3D,3A,3G,3L,3K,ABDEGJKL
341,3E,3G,3B,3A,3I,3D,3L,3K,ABDEGIKL
342,3E,3J,3B,3D,3A,3G,3L,3I,ABDEGIJL
343,3E,3J,3B,3D,3A,3G,3I,3K,ABDEGIJK
344,3E,3G,3B,3D,3A,3H,3L,3K,ABDEGHKL
345,3H,3J,3B,3D,3A,3G,3L,3E,ABDEGHJL
346,3H,3J,3B,3D,3A,3G,3E,3K,ABDEGHJK
347,3E,3G,3B,3D,3A,3H,3L,3I,ABDEGHIL
348,3E,3G,3B,3D,3A,3H,3I,3K,ABDEGHIK
349,3H,3J,3B,3D,3A,3G,3E,3I,ABDEGHIJ
350,3E,3J,3B,3D,3A,3F,3L,3K,ABDEFJKL
351,3E,3I,3B,3D,3A,3F,3L,3K,ABDEFIKL
352,3E,3J,3B,3D,3A,3F,3L,3I,ABDEFIJL
353,3E,3J,3B,3D,3A,3F,3I,3K,ABDEFIJK
354,3H,3E,3B,3D,3A,3F,3L,3K,ABDEFHKL
355,3H,3J,3B,3D,3A,3F,3L,3E,ABDEFHJL
356,3H,3J,3B,3D,3A,3F,3E,3K,ABDEFHJK
357,3H,3E,3B,3D,3A,3F,3L,3I,ABDEFHIL
358,3H,3E,3B,3D,3A,3F,3I,3K,ABDEFHIK
359,3H,3J,3B,3D,3A,3F,3E,3I,ABDEFHIJ
360,3E,3G,3B,3D,3A,3F,3L,3K,ABDEFGKL
361,3E,3G,3B,3D,3A,3F,3L,3J,ABDEFGJL
362,3E,3G,3B,3D,3A,3F,3J,3K,ABDEFGJK
363,3E,3G,3B,3D,3A,3F,3L,3I,ABDEFGIL
364,3E,3G,3B,3D,3A,3F,3I,3K,ABDEFGIK
365,3E,3G,3B,3D,3A,3F,3I,3J,ABDEFGIJ
366,3H,3G,3B,3D,3A,3F,3L,3E,ABDEFGHL
367,3H,3G,3B,3D,3A,3F,3E,3K,ABDEFGHK
368,3H,3G,3B,3D,3A,3F,3E,3J,ABDEFGHJ
369,3H,3G,3B,3D,3A,3F,3E,3I,ABDEFGHI
370,3I,3J,3B,3C,3A,3H,3L,3K,ABCHIJKL
371,3I,3J,3B,3C,3A,3G,3L,3K,ABCGIJKL
372,3H,3J,3B,3C,3A,3G,3L,3K,ABCGHJKL
373,3I,3G,3B,3C,3A,3H,3L,3K,ABCGHIKL
374,3H,3J,3B,3C,3A,3G,3L,3I,ABCGHIJL
375,3H,3J,3B,3C,3A,3G,3I,3K,ABCGHIJK
376,3I,3J,3B,3C,3A,3F,3L,3K,ABCFIJKL
377,3H,3J,3B,3C,3A,3F,3L,3K,ABCFHJKL
378,3H,3I,3B,3C,3A,3F,3L,3K,ABCFHIKL
379,3H,3J,3B,3C,3A,3F,3L,3I,ABCFHIJL
380,3H,3J,3B,3C,3A,3F,3I,3K,ABCFHIJK
381,3C,3J,3B,3F,3A,3G,3L,3K,ABCFGJKL
382,3I,3G,3B,3C,3A,3F,3L,3K,ABCFGIKL
383,3C,3J,3B,3F,3A,3G,3L,3I,ABCFGIJL
384,3C,3J,3B,3F,3A,3G,3I,3K,ABCFGIJK
385,3H,3G,3B,3C,3A,3F,3L,3K,ABCFGHKL
386,3H,3G,3B,3C,3A,3F,3L,3J,ABCFGHJL
387,3H,3G,3B,3C,3A,3F,3J,3K,ABCFGHJK
388,3H,3G,3B,3C,3A,3F,3L,3I,ABCFGHIL
389,3H,3G,3B,3C,3A,3F,3I,3K,ABCFGHIK
390,3H,3G,3B,3C,3A,3F,3I,3J,ABCFGHIJ
391,3E,3J,3B,3A,3I,3C,3L,3K,ABCEIJKL
392,3E,3J,3B,3C,3A,3H,3L,3K,ABCEHJKL
393,3E,3I,3B,3C,3A,3H,3L,3K,ABCEHIKL
394,3E,3J,3B,3C,3A,3H,3L,3I,ABCEHIJL
395,3E,3J,3B,3C,3A,3H,3I,3K,ABCEHIJK
396,3E,3J,3B,3C,3A,3G,3L,3K,ABCEGJKL
397,3E,3G,3B,3A,3I,3C,3L,3K,ABCEGIKL
